"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
2015,"MUNICIPIO",110029,109,0,100,1,27,35,31,10,4,1,0,0,108,19,23,27,23.79,5.5,0,5,32,51,9,10,35,4,0,65,1,16,92,0,0,107,2,0,0,3,10,89,5,13,89,5,38,39,40,38.49,2.34,0,23,3,14,61,109,0,12,97,109,0,0,38,5,12,0,39,0,0,2,0,11,109,0,0,0,0,55,54,35,4,0,65,1,10,96,3,2930,3200,3465,3165.21,474.03,7,89,9,109,0,9.01,0.48,1,106
2015,"MUNICIPIO",110030,1535,0,1519,8,251,434,427,258,135,19,3,0,1527,21,25,30,25.82,6.09,2,40,387,737,128,236,519,47,18,939,10,957,572,0,0,1503,32,0,3,3,70,1444,13,76,1444,13,38,39,40,38.64,1.58,3,260,91,106,1039,63,1472,346,1189,1406,23,7,425,67,283,17,535,7,12,31,7,50,1535,0,0,0,0,758,777,519,47,18,939,10,118,1358,59,2910,3195,3485,3172.82,508.23,112,1296,125,1530,0,9.26,0.81,10,1523
2015,"MUNICIPIO",110032,311,0,295,0,67,94,76,47,24,1,1,1,310,20,24,29,24.99,6.27,1,27,87,140,18,32,96,12,0,201,0,112,197,0,0,305,6,0,0,1,26,266,13,27,266,13,38,39,39,38.64,1.64,0,47,34,29,178,118,193,68,243,278,28,4,90,14,49,4,88,9,18,6,4,23,311,0,0,0,0,155,156,96,12,0,201,0,18,281,12,2927.5,3225,3487.5,3207.93,487.28,19,258,27,311,0,8.97,0.77,6,304
2015,"MUNICIPIO",110033,404,0,340,4,87,118,85,71,34,5,0,0,400,20,24,30,25.16,6.48,3,50,176,144,9,17,81,13,1,271,17,223,171,0,0,403,1,0,3,5,41,315,17,49,315,17,38,39,40,38.54,2.47,12,41,62,72,162,390,14,171,233,385,12,0,75,25,101,14,100,5,7,1,0,47,322,71,9,2,0,211,193,81,13,1,273,17,24,343,37,3000,3250,3588.75,3259.18,546.03,23,293,57,394,0,9.3,0.7,1,401
2015,"MUNICIPIO",110034,200,0,185,1,42,64,41,40,9,3,0,0,199,20,24,30,24.87,5.94,0,11,63,88,8,24,62,14,1,120,0,36,162,0,0,200,0,0,1,0,21,164,10,22,164,10,38,39,40,38.57,2.01,1,44,22,33,88,192,8,70,130,191,7,1,42,21,38,9,59,3,4,0,1,18,192,4,2,2,0,106,94,62,14,1,120,0,12,184,4,3010,3267.5,3496.25,3201.55,497.44,13,166,17,199,0,9.11,0.63,1,198
2015,"MUNICIPIO",110037,149,0,140,1,28,44,47,19,8,2,0,0,148,20,25,29,24.79,5.71,1,13,59,53,4,15,43,6,1,94,2,20,126,0,0,148,1,0,0,0,9,136,3,9,136,3,38,39,40,38.83,1.42,0,15,8,10,109,145,4,26,123,148,1,0,44,4,25,4,60,0,1,1,0,9,148,0,0,1,0,71,78,43,6,1,94,2,6,134,9,3000,3270,3600,3290.69,448.08,7,123,17,147,0,9.08,0.36,0,148
2015,"MUNICIPIO",110040,247,0,176,0,51,81,62,36,14,3,0,0,247,20,24,29,24.86,5.92,2,21,54,86,9,14,51,13,0,122,0,53,190,0,0,245,2,1,0,0,13,222,8,14,222,8,38,39,41,38.99,2.13,0,26,18,22,97,245,2,52,195,187,3,0,25,38,21,18,68,1,2,2,0,12,206,39,0,2,0,134,113,75,13,0,155,0,10,228,9,2935,3200,3460,3202.26,455.14,23,200,18,246,0,9.66,0.57,3,243
2015,"MUNICIPIO",110045,608,0,450,3,126,198,162,84,28,6,1,0,605,20,24,28,24.5,5.85,2,58,221,256,22,33,164,27,6,336,0,171,418,0,0,599,6,0,2,3,44,480,18,49,480,18,38,39,40,38.63,1.99,0,93,31,69,367,47,561,115,492,581,16,0,96,103,49,50,179,13,3,6,0,40,334,274,0,0,0,292,316,167,27,6,336,0,34,545,29,2953.75,3242.5,3550,3239.78,501.94,39,441,59,606,0,9.61,0.9,7,584
2015,"MUNICIPIO",110050,109,0,102,1,19,34,22,24,9,0,0,0,108,20,25,30,25.34,6.02,1,10,33,48,6,9,43,1,0,59,1,12,96,0,0,108,1,0,0,0,10,96,2,10,96,2,38,39,39,38.52,1.63,0,12,6,12,74,108,1,14,95,108,1,0,35,7,22,5,28,1,0,1,0,10,108,0,0,1,0,48,61,43,1,0,59,1,5,102,2,3000,3230,3495,3231.7,420.07,5,92,11,109,0,9.03,0.32,0,109
2015,"MUNICIPIO",110060,72,0,44,0,18,25,15,7,6,1,0,0,72,19.75,24,29,24.5,6.24,0,6,12,25,0,3,14,3,0,30,0,17,54,0,0,71,1,0,0,0,5,61,3,5,61,3,38,40,41,39.49,1.94,0,5,4,6,28,70,2,19,53,47,0,0,6,13,7,1,13,0,0,1,0,4,71,1,0,0,0,36,36,23,4,1,44,0,5,63,4,2915,3252.5,3510,3214.15,454.76,6,55,5,72,0,9.54,0.67,0,72
